source_id,target_id,batch_id,timestamp,qty_kg
CK-005,DSH-001,BATCH-PANEER-001,2025-09-09T11:00:00+05:30,4.0
CK-005,DSH-001,BATCH-PANEER-001,2025-09-10T12:00:00+05:30,5.0
CK-002,DSH-001,BATCH-BUTTER-001,2025-09-10T12:00:00+05:30,3.0
CK-001,DSH-001,BATCH-PANEER-001,2025-09-10T12:00:00+05:30,5.0
CK-001,DSH-001,BATCH-BUTTER-001,2025-09-10T12:00:00+05:30,3.0
CK-001,DSH-001,BATCH-PANEER-001,2025-09-10T15:30:00+05:30,6.0
CK-002,DSH-001,BATCH-PANEER-001,2025-09-10T15:30:00+05:30,6.0
CK-003,DSH-001,BATCH-PANEER-001,2025-09-10T15:30:00+05:30,6.0
CK-003,DSH-001,BATCH-PANEER-001,2025-09-10T12:00:00+05:30,5.0
CK-004,DSH-001,BATCH-PANEER-002,2025-09-11T19:00:00+05:30,5.0
CK-002,DSH-001,BATCH-TOMATO-001,2025-09-10T13:00:00+05:30,6.0
CK-001,DSH-001,BATCH-PANEER-001,2025-09-09T11:00:00+05:30,4.0
CK-005,DSH-001,BATCH-PANEER-001,2025-09-11T09:00:00+05:30,6.0
CK-004,DSH-001,BATCH-CREAM-001,2025-09-10T12:10:00+05:30,2.0
CK-002,DSH-001,BATCH-PANEER-001,2025-09-10T12:00:00+05:30,5.0
CK-003,DSH-001,BATCH-PANEER-001,2025-09-11T09:00:00+05:30,6.0
CK-002,DSH-001,BATCH-PANEER-001,2025-09-11T09:00:00+05:30,6.0
CK-001,DSH-001,BATCH-CREAM-001,2025-09-10T12:10:00+05:30,2.0
CK-003,DSH-001,BATCH-PANEER-001,2025-09-09T11:00:00+05:30,4.0
CK-001,DSH-001,BATCH-PANEER-002,2025-09-11T19:00:00+05:30,5.0
CK-004,DSH-001,BATCH-TOMATO-001,2025-09-10T13:00:00+05:30,6.0
CK-002,DSH-001,BATCH-PANEER-001,2025-09-09T11:00:00+05:30,4.0
CK-001,DSH-001,BATCH-PANEER-001,2025-09-11T09:00:00+05:30,6.0
CK-005,DSH-001,BATCH-PANEER-001,2025-09-10T15:30:00+05:30,6.0
CK-001,DSH-002,BATCH-PANEER-001,2025-09-10T12:30:00+05:30,4.0
CK-001,DSH-002,BATCH-PANEER-001,2025-09-11T09:30:00+05:30,5.0
CK-001,DSH-002,BATCH-SPINACH-001,2025-09-09T12:00:00+05:30,3.0
CK-005,DSH-002,BATCH-PANEER-001,2025-09-11T09:30:00+05:30,5.0
CK-002,DSH-002,BATCH-PANEER-001,2025-09-11T09:30:00+05:30,5.0
CK-003,DSH-002,BATCH-PANEER-001,2025-09-10T12:30:00+05:30,4.0
CK-002,DSH-002,BATCH-PANEER-001,2025-09-10T12:30:00+05:30,4.0
CK-005,DSH-002,BATCH-PANEER-001,2025-09-10T12:30:00+05:30,4.0
CK-003,DSH-002,BATCH-PANEER-001,2025-09-11T09:30:00+05:30,5.0
CK-005,DSH-003,BATCH-PANEER-001,2025-09-11T10:00:00+05:30,5.0
CK-005,DSH-003,BATCH-PANEER-001,2025-09-10T15:45:00+05:30,5.0
CK-002,DSH-003,BATCH-PANEER-001,2025-09-11T10:00:00+05:30,5.0
CK-004,DSH-003,BATCH-PANEER-002,2025-09-11T19:30:00+05:30,4.0
CK-001,DSH-003,BATCH-PANEER-001,2025-09-10T15:45:00+05:30,5.0
CK-001,DSH-003,BATCH-PANEER-002,2025-09-11T19:30:00+05:30,4.0
CK-002,DSH-003,BATCH-PANEER-001,2025-09-10T15:45:00+05:30,5.0
CK-001,DSH-003,BATCH-PANEER-001,2025-09-11T10:00:00+05:30,5.0
CK-003,DSH-003,BATCH-PANEER-001,2025-09-10T15:45:00+05:30,5.0
CK-003,DSH-003,BATCH-PANEER-001,2025-09-11T10:00:00+05:30,5.0
CK-005,DSH-004,BATCH-CHICKEN-001,2025-09-10T11:30:00+05:30,8.0
CK-001,DSH-004,BATCH-SPICE-001,2025-09-10T11:45:00+05:30,1.0
CK-001,DSH-004,BATCH-RICE-001,2025-09-10T11:45:00+05:30,10.0
CK-002,DSH-004,BATCH-CHICKEN-001,2025-09-10T11:30:00+05:30,8.0
CK-004,DSH-004,BATCH-SPICE-001,2025-09-10T11:45:00+05:30,1.0
CK-003,DSH-004,BATCH-RICE-001,2025-09-10T11:45:00+05:30,10.0
CK-002,DSH-005,BATCH-CHICKEN-001,2025-09-10T13:00:00+05:30,7.0
CK-005,DSH-005,BATCH-CHICKEN-001,2025-09-10T13:00:00+05:30,7.0
CK-002,DSH-005,BATCH-BUTTER-001,2025-09-10T13:00:00+05:30,4.0
CK-001,DSH-005,BATCH-BUTTER-001,2025-09-10T13:00:00+05:30,4.0
CK-002,DSH-006,BATCH-BUTTER-001,2025-09-10T12:50:00+05:30,3.0
CK-004,DSH-006,BATCH-TOMATO-001,2025-09-10T12:45:00+05:30,5.0
CK-002,DSH-006,BATCH-TOMATO-001,2025-09-10T12:45:00+05:30,5.0
CK-004,DSH-006,BATCH-CREAM-001,2025-09-10T12:55:00+05:30,2.0
CK-001,DSH-006,BATCH-BUTTER-001,2025-09-10T12:50:00+05:30,3.0
CK-001,DSH-006,BATCH-CREAM-001,2025-09-10T12:55:00+05:30,2.0
CK-004,DSH-007,BATCH-CHICKPEA-001,2025-09-10T12:30:00+05:30,8.0
CK-004,DSH-007,BATCH-SPICE-001,2025-09-11T10:15:00+05:30,1.0
CK-004,DSH-007,BATCH-TOMATO-001,2025-09-11T10:30:00+05:30,6.0
CK-002,DSH-007,BATCH-TOMATO-001,2025-09-11T10:30:00+05:30,6.0
CK-001,DSH-007,BATCH-SPICE-001,2025-09-11T10:15:00+05:30,1.0
CK-001,DSH-008,BATCH-RICE-001,2025-09-10T12:15:00+05:30,4.0
CK-003,DSH-008,BATCH-RICE-001,2025-09-10T12:15:00+05:30,4.0
CK-005,DSH-009,BATCH-CHICKEN-001,2025-09-10T14:00:00+05:30,6.0
CK-002,DSH-009,BATCH-CHICKEN-001,2025-09-10T14:00:00+05:30,6.0
CK-003,DSH-010,BATCH-PANEER-001,2025-09-11T09:15:00+05:30,3.0
CK-002,DSH-010,BATCH-PANEER-001,2025-09-11T09:15:00+05:30,3.0
CK-001,DSH-010,BATCH-PANEER-001,2025-09-11T09:15:00+05:30,3.0
CK-005,DSH-010,BATCH-PANEER-001,2025-09-10T19:30:00+05:30,3.0
CK-001,DSH-010,BATCH-PANEER-001,2025-09-10T19:30:00+05:30,3.0
CK-005,DSH-010,BATCH-PANEER-001,2025-09-11T09:15:00+05:30,3.0
CK-002,DSH-010,BATCH-PANEER-001,2025-09-10T19:30:00+05:30,3.0
CK-003,DSH-010,BATCH-PANEER-001,2025-09-10T19:30:00+05:30,3.0
